time start,time end,duration (s),source address,destination address,source port,destination port ,protocol,flags,packets,bytes
2020-04-28 14:43:02,2020-04-28 14:43:03,0.854,10.130.16.46,193.136.126.43,80,58795,TCP,.AP.SF,176,257047
2020-04-28 14:43:02,2020-04-28 14:43:03,0.854,193.136.126.43,10.130.16.46,58795,80,TCP,.AP.SF,102,7828
2020-04-28 14:43:03,2020-04-28 14:43:33,30.505,95.93.125.188,193.136.126.43,54314,443,TCP,.AP.SF,13,2035
2020-04-28 14:43:03,2020-04-28 14:43:33,30.505,193.136.126.43,95.93.125.188,443,54314,TCP,.AP.SF,10,7493
2020-04-28 14:43:04,2020-04-28 14:43:35,30.733,95.93.125.188,193.136.126.43,54316,443,TCP,.AP.SF,81,11442
2020-04-28 14:43:04,2020-04-28 14:43:35,30.733,193.136.126.43,95.93.125.188,443,54316,TCP,.AP.SF,29,112510
2020-04-28 14:43:04,2020-04-28 14:43:07,3.609,10.130.16.46,193.136.126.43,80,58812,TCP,.AP.SF,112,153298
2020-04-28 14:43:04,2020-04-28 14:43:07,3.609,193.136.126.43,10.130.16.46,58812,80,TCP,.AP.SF,65,7164
2020-04-28 14:43:04,2020-04-28 14:43:04,0.029,66.249.76.41,193.136.126.43,36059,80,TCP,.A...F,1,52
2020-04-28 14:43:04,2020-04-28 14:43:04,0.029,193.136.126.43,66.249.76.41,80,36059,TCP,.A...F,2,104
2020-04-28 14:43:04,2020-04-28 14:43:35,30.555,95.93.125.188,193.136.126.43,54318,443,TCP,.AP.SF,39,4867
2020-04-28 14:43:04,2020-04-28 14:43:35,30.555,193.136.126.43,95.93.125.188,443,54318,TCP,.AP.SF,17,57426
2020-04-28 14:43:04,2020-04-28 14:43:35,30.551,95.93.125.188,193.136.126.43,54319,443,TCP,.AP.SF,58,8157
2020-04-28 14:43:04,2020-04-28 14:43:35,30.551,193.136.126.43,95.93.125.188,443,54319,TCP,.AP.SF,20,78862
2020-04-28 14:43:04,2020-04-28 14:43:35,30.554,95.93.125.188,193.136.126.43,54317,443,TCP,.AP.SF,35,4828
2020-04-28 14:43:04,2020-04-28 14:43:35,30.554,193.136.126.43,95.93.125.188,443,54317,TCP,.AP.SF,15,51724
2020-04-28 14:43:04,2020-04-28 14:43:07,3.460,10.130.16.46,193.136.126.43,80,58817,TCP,.AP.SF,54,72111
2020-04-28 14:43:04,2020-04-28 14:43:07,3.460,193.136.126.43,10.130.16.46,58817,80,TCP,.AP.SF,37,4073
2020-04-28 14:43:04,2020-04-28 14:43:07,2.737,10.130.16.46,193.136.126.43,80,58829,TCP,.AP.SF,42,46858
2020-04-28 14:43:04,2020-04-28 14:43:07,2.737,193.136.126.43,10.130.16.46,58829,80,TCP,.AP.SF,33,4347
2020-04-28 14:43:04,2020-04-28 14:43:07,3.332,10.130.16.46,193.136.126.43,80,58830,TCP,.AP.SF,23,25439
2020-04-28 14:43:04,2020-04-28 14:43:07,3.332,193.136.126.43,10.130.16.46,58830,80,TCP,.AP.SF,19,2271
2020-04-28 14:43:05,2020-04-28 14:43:35,30.195,95.93.125.188,193.136.126.43,54320,443,TCP,.AP.SF,13,2266
2020-04-28 14:43:05,2020-04-28 14:43:35,30.195,193.136.126.43,95.93.125.188,443,54320,TCP,.AP.SF,9,7656
